token_id,sequence_id,region_id,x,y,tier_id,size
627,0,1,169,114,1,50
1595,0,1,209,126,1,50
1830,0,1,207,129,1,50
3104,0,1,214,153,4,50
3499,0,1,195,162,1,50
4918,0,1,185,190,2,50
5183,0,1,211,194,2,50
5331,0,1,211,196,1,50
5575,0,1,220,199,1,50
5611,0,1,172,200,1,50
5810,0,1,198,202,1,50
5871,0,1,172,203,1,50
6057,0,1,182,205,1,50
6334,0,1,199,208,1,50
6663,0,1,184,212,1,50
7175,0,1,207,218,3,50
7435,0,1,211,221,3,50
7868,0,1,197,226,1,50
7913,0,1,242,226,1,50
7940,0,1,179,227,1,50
8027,0,1,177,228,1,50
8153,0,1,216,229,2,50
8199,0,1,175,230,1,50
8478,0,1,203,233,1,50
8731,0,1,215,236,1,50
8949,0,1,195,239,1,50
9046,0,1,210,240,1,50
9564,0,1,217,246,1,50
10402,0,1,209,255,2,50
10902,0,1,197,260,1,50
11454,0,1,221,265,3,50
11869,0,1,204,269,2,50
11886,0,1,221,269,2,50
11892,0,1,227,269,2,50
11893,0,1,228,269,3,50
12096,0,1,214,271,2,50
12310,0,1,212,273,1,50
13499,0,1,199,285,1,50
13995,0,1,171,291,1,50
14099,0,1,231,292,1,50
14623,0,2,764,395,1,50
16169,0,2,785,420,2,50
16269,0,2,762,422,1,50
16659,0,2,743,428,3,50
16661,0,2,745,428,1,50
16743,0,2,756,429,2,50
16799,0,2,739,430,2,50
16870,0,2,736,431,1,50
16881,0,2,747,431,2,50
17013,0,2,735,433,1,50
17164,0,2,739,435,1,50
17410,0,2,740,438,2,50
19090,0,2,677,455,2,50
19125,0,2,712,455,1,50
19242,0,2,673,456,3,50
19310,0,2,741,456,1,50
19404,0,2,677,457,2,50
20067,0,2,826,461,3,50
21171,0,2,796,470,1,50
21550,0,2,801,473,2,50
21647,0,2,773,474,4,50
22491,0,2,830,480,1,50
22793,0,2,659,483,2,50
22914,0,2,829,483,1,50
23100,0,2,670,485,2,50
24211,0,2,661,492,1,50
24213,0,2,663,492,1,50
25165,0,2,770,497,1,50
25177,0,2,782,497,1,50
26445,0,2,806,504,2,50
27572,0,2,677,512,1,50
27958,0,2,747,516,1,50
28020,0,2,755,517,1,50
28061,0,2,745,518,1,50
28360,0,2,761,525,3,50
30011,0,3,745,257,1,50
30320,0,3,746,261,1,50
30447,0,3,818,262,1,50
30467,0,3,839,262,1,50
30930,0,3,740,267,1,50
31100,0,3,790,268,1,50
31147,0,3,838,268,1,50
31423,0,3,730,271,1,50
31435,0,3,742,271,1,50
31652,0,3,830,272,2,50
32007,0,3,795,275,1,50
32181,0,3,839,276,3,50
32320,0,3,847,277,1,50
32324,0,3,851,277,3,50
32694,0,3,826,280,2,50
33289,0,3,739,285,4,50
33692,0,3,858,287,1,50
