token_id,sequence_id,region_id,x,y,tier_id,size
73,0,1,321,103,1,50
1412,0,1,199,124,2,50
1594,0,1,208,126,2,50
2294,0,1,222,136,2,50
3008,0,1,213,151,1,50
3099,0,1,209,153,1,50
3106,0,1,216,153,1,50
3748,0,1,205,167,1,50
4524,0,1,200,182,2,50
5115,0,1,211,193,1,50
6218,0,1,170,207,1,50
6397,0,1,175,209,1,50
6816,0,1,171,214,2,50
7055,0,1,169,217,1,50
7315,0,1,179,220,2,50
7489,0,1,177,222,1,50
7612,0,1,212,223,1,50
8472,0,1,197,233,1,50
8563,0,1,206,234,1,50
8934,0,1,180,239,2,50
9284,0,1,196,243,2,50
9382,0,1,209,244,1,50
9445,0,1,185,245,1,50
10300,0,1,206,254,1,50
10407,0,1,214,255,3,50
10674,0,1,175,258,2,50
10675,0,1,176,258,1,50
10788,0,1,186,259,1,50
11347,0,1,221,264,2,50
11669,0,1,222,267,1,50
11876,0,1,211,269,1,50
12881,0,1,156,279,2,50
13966,0,1,225,290,1,50
14136,0,1,221,293,1,50
14196,0,1,204,295,1,50
14244,0,1,224,297,1,50
14560,0,2,748,394,3,50
14673,0,2,766,396,1,50
14951,0,2,763,401,2,50
15199,0,2,748,405,1,50
15313,0,2,795,406,1,50
15840,0,2,750,415,1,50
15956,0,2,747,417,1,50
16593,0,2,747,427,1,50
16595,0,2,749,427,1,50
16891,0,2,757,431,2,50
16951,0,2,746,432,2,50
17015,0,2,737,433,1,50
17023,0,2,745,433,2,50
17031,0,2,753,433,3,50
17198,0,2,773,435,1,50
17246,0,2,745,436,1,50
18687,0,2,820,451,1,50
18928,0,2,820,453,3,50
20070,0,2,829,461,2,50
21581,0,2,832,473,4,50
21773,0,2,773,475,1,50
22805,0,2,671,483,1,50
22905,0,2,820,483,1,50
23102,0,2,672,485,2,50
23213,0,2,830,485,1,50
23246,0,2,665,486,1,50
23352,0,2,816,486,1,50
23837,0,2,823,489,1,50
23940,0,2,760,490,4,50
24185,0,2,836,491,2,50
24281,0,2,762,492,1,50
24320,0,2,801,492,1,50
24343,0,2,824,492,1,50
24461,0,2,773,493,2,50
24620,0,2,761,494,1,50
24630,0,2,771,494,1,50
24966,0,2,757,496,1,50
25573,0,2,812,499,1,50
25747,0,2,806,500,1,50
26444,0,2,805,504,2,50
27198,0,2,744,509,1,50
27290,0,2,675,510,2,50
27612,0,2,747,512,2,50
28014,0,2,749,517,4,50
28131,0,2,766,519,3,50
28320,0,2,755,524,4,50
28327,0,2,762,524,1,50
28355,0,2,756,525,1,50
28635,0,3,765,227,2,50
28654,0,3,765,228,1,50
28884,0,3,776,236,2,50
30243,0,3,748,260,2,50
30379,0,3,844,261,1,50
30471,0,3,843,262,2,50
30682,0,3,845,264,1,50
31051,0,3,741,268,1,50
31102,0,3,792,268,1,50
31172,0,3,736,269,1,50
31308,0,3,744,270,1,50
