token_id,sequence_id,region_id,x,y,tier_id,size
1,0,3,0,0,1,59
2,0,1,1,0,4,79
3,0,2,2,0,3,59
4,0,1,3,0,4,79
5,0,4,4,0,4,59
6,0,2,5,0,4,79
7,0,2,6,0,3,59
8,0,2,7,0,4,79
9,0,6,8,0,4,79
10,0,6,9,0,3,79
11,0,6,10,0,1,59
12,0,5,11,0,4,79
13,0,3,12,0,2,59
14,0,3,13,0,3,59
15,0,4,14,0,3,59
16,0,7,15,0,3,79
17,0,1,16,0,3,59
18,1,3,17,0,5,79
19,1,4,18,0,4,59
20,1,1,19,0,2,59
21,1,6,20,0,3,59
22,1,4,21,0,2,59
23,1,3,22,0,4,79
24,1,7,23,0,2,59
25,1,2,24,0,4,79
26,1,6,25,0,1,59
27,1,2,26,0,2,79
28,1,7,27,0,4,59
29,1,5,28,0,3,59
30,1,5,29,0,4,59
31,1,4,30,0,5,59
32,1,6,31,0,3,59
33,1,7,32,0,5,59
34,1,3,33,0,4,79
35,2,7,34,0,5,79
36,2,5,35,0,1,79
37,2,7,36,0,2,59
38,2,4,37,0,4,59
39,2,2,38,0,4,59
40,2,7,39,0,2,79
41,2,4,40,0,4,79
42,2,4,41,0,1,59
43,2,2,42,0,2,79
44,2,4,43,0,2,79
45,2,2,44,0,4,79
46,2,2,45,0,1,79
47,2,2,46,0,3,79
48,2,3,47,0,2,59
49,2,3,48,0,2,79
50,2,7,49,0,3,79
51,3,4,50,0,5,59
52,3,3,51,0,5,59
53,3,3,52,0,4,59
54,3,5,53,0,4,79
55,3,7,54,0,1,59
56,3,1,55,0,5,59
57,3,1,56,0,5,79
58,3,1,57,0,3,79
59,3,2,58,0,3,59
60,3,7,59,0,5,79
61,3,3,60,0,5,79
62,3,4,61,0,4,59
63,3,1,62,0,4,59
64,3,6,63,0,4,79
65,3,4,64,0,3,59
66,3,6,65,0,1,79
67,3,5,66,0,3,79
68,4,4,67,0,4,79
69,4,2,68,0,4,79
70,4,6,69,0,5,79
71,4,4,70,0,1,59
72,4,1,71,0,4,79
73,4,7,72,0,1,59
74,4,3,73,0,5,79
75,4,7,74,0,4,59
76,4,5,75,0,2,59
77,4,2,76,0,3,59
78,4,3,77,0,4,59
79,4,1,78,0,1,59
80,4,6,79,0,2,59
81,4,1,80,0,2,59
82,4,2,81,0,1,79
83,4,1,82,0,1,79
84,4,1,83,0,5,59
85,5,4,84,0,2,79
86,5,4,85,0,5,59
87,5,4,86,0,2,79
88,5,2,87,0,3,79
89,5,3,88,0,3,79
90,5,7,89,0,1,79
91,5,1,90,0,2,79
92,5,3,91,0,3,59
93,5,1,92,0,4,79
94,5,6,93,0,1,79
95,5,3,94,0,5,59
96,5,7,95,0,5,59
97,5,3,96,0,4,59
98,5,3,97,0,3,79
99,5,3,98,0,2,79
100,5,7,99,0,4,59
101,6,2,100,0,5,59
102,6,2,101,0,5,59
103,6,1,102,0,5,59
104,6,4,103,0,5,59
105,6,7,104,0,4,59
106,6,1,105,0,5,59
107,6,6,106,0,3,59
108,6,3,107,0,4,59
109,6,1,108,0,5,79
110,6,4,109,0,1,79
111,6,5,110,0,2,59
112,6,1,111,0,1,59
113,6,6,112,0,3,59
114,6,2,113,0,4,59
115,6,2,114,0,3,79
116,6,2,115,0,1,79
117,6,1,116,0,3,79
118,7,6,117,0,4,59
119,7,1,118,0,4,59
120,7,6,119,0,3,59
121,7,1,120,0,4,79
122,7,4,121,0,3,59
123,7,6,122,0,5,79
124,7,7,123,0,1,59
125,7,4,124,0,3,59
126,7,1,125,0,5,59
127,7,7,126,0,5,79
128,7,3,127,0,1,59
129,7,3,128,0,2,79
130,7,3,129,0,2,59
131,7,5,130,0,2,59
132,7,7,131,0,5,59
133,7,3,132,0,2,79
134,7,3,133,0,2,59
135,8,3,134,0,2,79
136,8,2,135,0,5,59
137,8,7,136,0,4,79
138,8,7,137,0,1,59
139,8,2,138,0,2,59
